,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-OR-A5KO-01,-0.11620472371578217,-0.29615676403045654,-0.34856343269348145,0.3350648283958435,0.3432439863681793,-0.022727563977241516,ACC
TCGA-OR-A5KT-01,-0.02797946333885193,-0.0394858717918396,0.2324385643005371,0.007787272334098816,-0.26394492387771606,0.20969772338867188,ACC
TCGA-OR-A5KU-01,-0.08039749413728714,-0.09294792264699936,-0.26309913396835327,0.06272594630718231,0.21364441514015198,-0.1731519252061844,ACC
TCGA-OR-A5KV-01,-0.07475631684064865,0.20264042913913727,-0.017908472567796707,-0.29856881499290466,0.7048895359039307,-0.14736248552799225,ACC
TCGA-OR-A5KW-01,-0.04002512991428375,0.03352929651737213,-0.047796834260225296,0.17161637544631958,0.15256646275520325,0.09558010846376419,ACC
TCGA-OR-A5KX-01,0.15031294524669647,0.161922425031662,0.028334185481071472,-0.10058945417404175,0.00394275039434433,0.4945918321609497,ACC
TCGA-OR-A5KY-01,-0.2204226851463318,0.011204168200492859,-0.20901989936828613,0.33079132437705994,0.3176543116569519,-0.2071109116077423,ACC
TCGA-OR-A5KZ-01,0.17716538906097412,0.12986908853054047,-0.07356510311365128,0.11728261411190033,0.0037390366196632385,-0.1700633317232132,ACC
TCGA-OR-A5L3-01,0.3153958022594452,-0.06638698279857635,0.07343430817127228,0.08627411723136902,0.00025975704193115234,0.43947866559028625,ACC
TCGA-OR-A5L4-01,-0.05481672286987305,-0.23510636389255524,-0.06703527271747589,0.2671470046043396,-0.2046905905008316,-0.07740916311740875,ACC
TCGA-OR-A5L5-01,0.02820226550102234,0.08103674650192261,0.3302687704563141,0.006005614995956421,-0.2687838673591614,-0.014548301696777344,ACC
TCGA-OR-A5L6-01,-0.02829231321811676,-0.008834222331643105,-0.11918309330940247,0.19315177202224731,-0.1491779386997223,0.19701401889324188,ACC
